order_name,family_name,datetime,individuals,tempmax,tempmin,temp_daily,humidity
COLEOPTERA,CARABIDAE,2003-07-20,2,76.9,60.9,69.9,69.9
COLEOPTERA,CARABIDAE,2000-06-21,3,86,64.1,75.6,67.5
COLEOPTERA,CARABIDAE,2007-06-10,1,81.7,60.4,71.9,55.4
COLEOPTERA,CARABIDAE,1992-07-02,1,71.2,58.8,65.5,59.2
COLEOPTERA,CARABIDAE,1993-05-23,1,73.3,55.2,63.3,66.8
COLEOPTERA,CARABIDAE,1995-07-13,1,78.9,59.1,68.1,70.5
COLEOPTERA,CARABIDAE,1996-07-25,1,76.6,57.1,63.8,74.2
COLEOPTERA,CARABIDAE,1997-06-03,1,71.7,49.6,60.5,65.7
COLEOPTERA,CARABIDAE,2000-05-10,1,77,44.8,59.5,62.1
COLEOPTERA,CARABIDAE,2001-07-08,2,85.8,70.4,76.7,77.8
COLEOPTERA,CARABIDAE,2003-06-09,1,63.6,57.7,60.4,83.6
COLEOPTERA,CARABIDAE,2003-07-20,1,76.9,60.9,69.9,69.9
COLEOPTERA,CARABIDAE,2006-07-06,1,84.5,64.2,75.1,56.4
COLEOPTERA,CARABIDAE,2007-06-10,8,81.7,60.4,71.9,55.4
COLEOPTERA,CARABIDAE,2008-08-03,1,75.3,62.7,67.6,67.3
COLEOPTERA,CARABIDAE,2009-07-10,1,61.1,53.8,57.8,82.5
COLEOPTERA,CARABIDAE,2002-06-18,1,80.5,62.9,71.2,76.6
COLEOPTERA,CARABIDAE,2001-07-08,1,85.8,70.4,76.7,77.8
COLEOPTERA,CARABIDAE,2005-07-10,1,81.8,61.9,71.5,67.6
COLEOPTERA,CARABIDAE,2004-07-25,1,60.7,53.1,57.4,91.8
COLEOPTERA,CARABIDAE,2004-08-01,1,73.2,60.1,67.3,79.5
COLEOPTERA,CARABIDAE,2006-06-13,1,79.6,59.9,71.1,55.6
COLEOPTERA,CARABIDAE,1994-07-27,1,82.5,66.3,74.7,67
COLEOPTERA,CARABIDAE,2006-06-25,1,76.6,57.2,67.6,64.3
COLEOPTERA,CARABIDAE,2007-06-10,1,81.7,60.4,71.9,55.4
